Absolute Classe Path,P1,P4,P3,P2,P5
trymall\trymall-api\src\main\java\com\linfeng\api\util\sms\SmsUtils.java,65,60,80,72,70
trymall\trymall-api\src\main\java\com\linfeng\api\util\RequestHolder.java,25,34,33,32,35
trymall\trymall-common\src\main\java\com\linfeng\common\exception\BadRequestException.java,32,40,42,40,37
trymall\trymall-api\src\main\java\com\linfeng\api\controller\DiscoveryController.java,40,38,55,47,49
trymall\trymall-api\src\main\java\com\linfeng\api\controller\GoodsController.java,35,32,50,42,45
trymall\trymall-api\src\main\java\com\linfeng\api\controller\SearchController.java,44,40,58,50,53
trymall\trymall-common\src\main\java\com\linfeng\common\exception\BusinessException.java,30,31,40,32,37
trymall\trymall-common\src\main\java\com\linfeng\common\exception\DaoException.java,15,17,20,16,21
trymall\trymall-common\src\main\java\com\linfeng\common\exception\UnAuthenticatedException.java,22,31,27,25,28
trymall\trymall-api\src\main\java\com\linfeng\api\aspect\RepeatSubmitAspect.java,78,83,92,80,86
trymall\trymall-db\src\main\java\com\linfeng\db\mapper\TrymallCourseMapper.java,43,49,55,47,48
trymall\trymall-db\src\main\java\com\linfeng\db\mapper\TrymallSystemMessageMapper.java,56,61,70,58,63
trymall\trymall-api\src\main\java\com\linfeng\api\util\oss\QiNiuUtil.java,34,40,45,42,41
trymall\trymall-api\src\main\java\com\linfeng\api\config\MyMetaObjectHandler.java,125,121,132,128,130
trymall\trymall-api\src\main\java\com\linfeng\api\config\MybatisPlusConfig.java,41,43,55,47,51
trymall\trymall-db\src\main\java\com\linfeng\db\mapper\TrymallSysConfigMapper.java,18,23,23,20,24
trymall\trymall-api\src\main\java\com\linfeng\api\util\oss\FileUtil.java,514,512,526,516,522
trymall\trymall-api\src\main\java\com\linfeng\api\ApiApplication.java,65,63,74,72,71
trymall\trymall-api\src\main\java\com\linfeng\api\config\CorsConfig.java,48,55,60,54,53
trymall\trymall-api\src\main\java\com\linfeng\api\config\InterceptorConfig.java,32,33,40,33,42
trymall\trymall-api\src\main\java\com\linfeng\api\config\ValidatorConfiguration.java,29,32,38,32,35
trymall\trymall-api\src\main\java\com\linfeng\api\controller\AuthController.java,225,232,238,230,233
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallAdminController.java,48,52,56,55,56
trymall\trymall-api\src\main\java\com\linfeng\api\intercepter\AdminAuthCheck.java,212,210,227,213,219
trymall\trymall-api\src\main\java\com\linfeng\api\intercepter\AuthCheckInterceptor.java,220,216,225,222,229
trymall\trymall-api\src\main\java\com\linfeng\api\redis\config\RedisConfig.java,243,239,248,247,250
trymall\trymall-api\src\main\java\com\linfeng\api\redis\util\RedisUtils.java,389,390,401,393,396
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\BrandServiceImpl.java,41,40,53,42,51
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\QiNiuServiceImpl.java,38,36,43,45,45
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\SystemConfigServiceImpl.java,31,31,39,35,37
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallIssueServiceImpl.java,28,28,34,34,34
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallSearchhistoryServiceImpl.java,36,46,42,40,46
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallSysConfigServiceImpl.java,33,42,39,34,42
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallSystemMessageServiceImpl.java,29,35,40,36,38
trymall\trymall-api\src\main\java\com\linfeng\api\util\jwt\JwtToken.java,117,112,126,125,122
trymall\trymall-api\src\main\java\com\linfeng\api\util\ThrowableUtil.java,23,26,35,24,30
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestBrandService.java,20,25,27,23,27
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestIssueService.java,15,24,23,19,20
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestSearchService.java,12,9,24,16,21
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestSystemConfigService.java,16,16,28,19,26
trymall\trymall-common\src\main\java\com\linfeng\common\domain\system\SystemConfig.java,17,26,22,20,25
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallAdmin.java,13,20,24,19,21
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallIssue.java,16,24,24,20,22
trymall\trymall-common\src\main\java\com\linfeng\common\enums\SmsTypeEnum.java,23,24,37,31,33
trymall\trymall-common\src\main\java\com\linfeng\common\generation\CodeGeneration.java,78,84,87,80,83
trymall\trymall-common\src\main\java\com\linfeng\common\response\ApiCode.java,75,70,80,76,80
trymall\trymall-db\src\main\java\com\linfeng\db\mapper\TrymallBannerMapper.java,23,22,37,31,30
