Absolute Classe Path,P1,P2,P3,P4,P5
trymall\trymall-api\src\main\java\com\linfeng\api\controller\HomeController.java,56,40,35,43,42
trymall\trymall-api\src\main\java\com\linfeng\api\util\sms\SmsUtils.java,74,71,64,70,81
trymall\trymall-api\src\main\java\com\linfeng\api\util\RequestHolder.java,53,38,31,38,48
trymall\trymall-common\src\main\java\com\linfeng\common\exception\BadRequestException.java,68,53,44,56,35
trymall\trymall-api\src\main\java\com\linfeng\api\util\oss\FileUtil.java,532,535,520,529,525
trymall\trymall-api\src\main\java\com\linfeng\api\controller\DiscoveryController.java,53,42,42,63,47
trymall\trymall-api\src\main\java\com\linfeng\api\controller\GoodsController.java,64,55,43,66,33
trymall\trymall-api\src\main\java\com\linfeng\api\controller\SearchController.java,62,53,52,75,48
trymall\trymall-common\src\main\java\com\linfeng\common\exception\BusinessException.java,61,47,39,49,41
trymall\trymall-common\src\main\java\com\linfeng\common\exception\DaoException.java,26,25,10,24,26
trymall\trymall-common\src\main\java\com\linfeng\common\exception\UnAuthenticatedException.java,48,25,24,37,33
trymall\trymall-api\src\main\java\com\linfeng\api\aspect\RepeatSubmitAspect.java,108,88,92,97,91
trymall\trymall-db\src\main\java\com\linfeng\db\mapper\TrymallCourseMapper.java,59,50,39,50,31
trymall\trymall-db\src\main\java\com\linfeng\db\mapper\TrymallSystemMessageMapper.java,72,59,56,64,51
trymall\trymall-api\src\main\java\com\linfeng\api\util\oss\QiNiuUtil.java,53,46,33,55,34
trymall\trymall-api\src\main\java\com\linfeng\api\config\MyMetaObjectHandler.java,143,134,133,158,143
trymall\trymall-api\src\main\java\com\linfeng\api\config\MybatisPlusConfig.java,73,59,49,73,49
trymall\trymall-db\src\main\java\com\linfeng\db\mapper\TrymallSysConfigMapper.java,32,18,21,46,35
trymall\trymall-api\src\main\java\com\linfeng\api\ApiApplication.java,79,65,66,80,72
trymall\trymall-api\src\main\java\com\linfeng\api\config\CorsConfig.java,60,61,47,60,64
trymall\trymall-api\src\main\java\com\linfeng\api\config\InterceptorConfig.java,46,36,30,50,47
trymall\trymall-api\src\main\java\com\linfeng\api\config\ValidatorConfiguration.java,47,31,26,52,20
trymall\trymall-api\src\main\java\com\linfeng\api\controller\AuthController.java,249,230,229,253,235
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallAdminController.java,82,76,63,73,55
trymall\trymall-api\src\main\java\com\linfeng\api\intercepter\AdminAuthCheck.java,237,227,222,242,233
trymall\trymall-api\src\main\java\com\linfeng\api\intercepter\AuthCheckInterceptor.java,236,231,223,238,217
trymall\trymall-api\src\main\java\com\linfeng\api\redis\config\RedisConfig.java,267,266,254,284,252
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\BrandServiceImpl.java,59,43,37,67,39
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\QiNiuServiceImpl.java,68,66,51,71,61
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\SystemConfigServiceImpl.java,46,38,36,46,54
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallIssueServiceImpl.java,63,54,40,50,34
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallSearchhistoryServiceImpl.java,57,44,38,54,38
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallSysConfigServiceImpl.java,51,50,38,53,29
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallSystemMessageServiceImpl.java,48,23,26,33,34
trymall\trymall-api\src\main\java\com\linfeng\api\util\jwt\JwtToken.java,154,127,131,160,127
trymall\trymall-api\src\main\java\com\linfeng\api\util\ThrowableUtil.java,57,32,33,60,45
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestBrandService.java,42,24,23,29,18
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestIssueService.java,54,45,30,45,36
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestSearchService.java,39,39,27,41,33
trymall\trymall-api\src\test\java\com\linfeng\api\service\TestSystemConfigService.java,30,19,15,31,29
trymall\trymall-common\src\main\java\com\linfeng\common\domain\system\SystemConfig.java,50,39,29,53,19
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallAdmin.java,42,26,21,34,16
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallIssue.java,33,14,11,24,21
trymall\trymall-common\src\main\java\com\linfeng\common\enums\SmsTypeEnum.java,50,33,34,61,28
trymall\trymall-common\src\main\java\com\linfeng\common\generation\CodeGeneration.java,105,89,82,92,88
trymall\trymall-common\src\main\java\com\linfeng\common\response\ApiCode.java,102,88,89,116,85
trymall\trymall-db\src\main\java\com\linfeng\db\mapper\TrymallBannerMapper.java,49,37,32,40,22
